City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Broken Hill,AU,2021-02-03 16:51:39,-31.95,141.4333,71.6,28,96,8.05
68,Kaitangata,NZ,2021-02-03 16:51:39,-46.2817,169.8464,52.0,70,89,8.01
69,Tailai,CN,2021-02-03 16:51:39,46.3833,123.4,-11.25,80,0,8.72
70,Alyangula,AU,2021-02-03 16:51:39,-13.8483,136.4192,80.6,100,40,4.61
71,Naze,JP,2021-02-03 16:51:39,28.3667,129.4833,50.99,71,0,3.85
72,Krasnoselkup,RU,2021-02-03 16:51:39,65.7,82.4667,0.21,93,87,3.65
73,Sukhothai,TH,2021-02-03 16:51:39,17.25,99.6667,82.99,82,0,0.89
74,Beyla,GN,2021-02-03 16:51:39,8.6833,-8.6333,94.23,14,40,4.74
75,Northam,GB,2021-02-03 16:51:39,51.0333,-4.2167,48.99,91,61,7.0
76,Benjamin Constant,BR,2021-02-03 16:51:40,-4.3831,-70.0311,87.8,78,40,5.75
77,Kotelnikovo,RU,2021-02-03 16:51:40,47.6317,43.1461,45.9,90,100,6.29
78,Anadyr,RU,2021-02-03 16:51:40,64.75,177.4833,6.8,78,40,33.55
79,Severo-Kurilsk,RU,2021-02-03 16:51:40,50.6789,156.125,10.8,92,100,35.84
80,Tiksi,RU,2021-02-03 16:51:41,71.6872,128.8694,-28.01,85,42,3.51
81,Mugan,CN,2021-02-03 16:51:41,35.9404,101.3842,27.61,61,100,4.63
82,Margate,GB,2021-02-03 16:51:41,51.3813,1.3862,46.99,86,100,1.99
83,Beloha,MG,2021-02-03 16:51:41,-25.1667,45.05,79.45,63,2,15.57
84,Ribeira Grande,PT,2021-02-03 16:51:41,38.5167,-28.7,53.6,76,40,20.71
85,Bredasdorp,ZA,2021-02-03 16:51:42,-34.5322,20.0403,73.4,53,0,10.36
86,Talnakh,RU,2021-02-03 16:51:42,69.4865,88.3972,-20.83,86,100,3.27
87,Paka,MY,2021-02-03 16:51:42,4.6374,103.4368,75.2,88,81,3.44
88,Alice Springs,AU,2021-02-03 16:51:42,-23.7,133.8833,71.6,24,59,6.98
89,Jamestown,US,2021-02-03 16:51:42,42.097,-79.2353,28.0,68,1,16.11
90,Darhan,MN,2021-02-03 16:51:42,49.4867,105.9228,8.06,88,100,6.93
91,Pevek,RU,2021-02-03 16:51:43,69.7008,170.3133,-9.11,75,49,6.89
92,Norman Wells,CA,2021-02-03 16:51:43,65.282,-126.8329,-32.8,68,75,3.44
93,College,US,2021-02-03 16:51:43,64.8569,-147.8028,-16.6,69,75,4.61
94,Tuatapere,NZ,2021-02-03 16:51:43,-46.1333,167.6833,47.28,88,66,4.68
95,Mehran,IR,2021-02-03 16:51:44,33.1222,46.1646,48.2,53,0,3.09
96,Hithadhoo,MV,2021-02-03 16:51:44,-0.6,73.0833,83.57,71,88,7.45
97,Bethel,US,2021-02-03 16:51:44,41.3712,-73.414,32.0,69,90,16.11
98,Biscarrosse,FR,2021-02-03 16:51:44,44.3945,-1.1672,57.2,72,0,3.44
99,Svetlyy,RU,2021-02-03 16:51:44,54.675,20.1347,30.99,80,0,6.71
100,Kudahuvadhoo,MV,2021-02-03 16:51:44,2.6708,72.8944,81.81,80,86,14.85
101,Yellowknife,CA,2021-02-03 16:51:44,62.456,-114.3525,-18.0,76,90,6.91
102,Faanui,PF,2021-02-03 16:51:44,-16.4833,-151.75,80.71,76,14,12.33
103,Nandurbar,IN,2021-02-03 16:51:45,21.3667,74.25,75.33,25,12,6.71
104,High Level,CA,2021-02-03 16:51:45,58.5169,-117.136,-9.4,77,90,8.05
105,Dikson,RU,2021-02-03 16:51:45,73.5069,80.5464,-4.85,90,100,16.71
106,Doha,QA,2021-02-03 16:51:17,25.2867,51.5333,68.0,73,0,6.91
107,Ormara,PK,2021-02-03 16:51:45,25.2088,64.6357,72.3,48,0,11.05
108,Avarua,CK,2021-02-03 16:51:45,-21.2078,-159.775,80.6,78,75,8.05
109,Byron Bay,AU,2021-02-03 16:51:45,-28.65,153.6167,66.2,88,11,5.75
110,Kabalo,CD,2021-02-03 16:51:45,-6.05,26.9167,75.49,82,38,2.68
111,Shimoda,JP,2021-02-03 16:51:45,34.6667,138.95,34.0,70,0,28.01
112,Yulara,AU,2021-02-03 16:51:46,-25.2406,130.9889,87.8,14,75,5.75
113,Georgetown,MY,2021-02-03 16:51:25,5.4112,100.3354,82.4,74,20,5.75
114,Vardo,NO,2021-02-03 16:51:46,70.3705,31.1107,26.6,93,90,26.46
115,Mount Pleasant,US,2021-02-03 16:50:00,32.7941,-79.8626,48.0,31,1,14.97
116,Sao Filipe,CV,2021-02-03 16:51:47,14.8961,-24.4956,74.73,70,98,9.51
117,Provideniya,RU,2021-02-03 16:51:47,64.3833,-173.3,-3.1,84,100,15.48
118,Port Elizabeth,ZA,2021-02-03 16:51:47,-33.918,25.5701,71.6,88,75,13.8
119,Tezu,IN,2021-02-03 16:51:47,27.9167,96.1667,62.71,35,1,4.23
120,Cabo San Lucas,MX,2021-02-03 16:51:47,22.8909,-109.9124,73.4,43,40,4.61
121,Svobodnyy,RU,2021-02-03 16:51:47,51.4,128.1333,-24.99,83,13,7.9
122,Usogorsk,RU,2021-02-03 16:51:47,63.4106,48.6872,1.33,93,98,4.81
123,Tuktoyaktuk,CA,2021-02-03 16:51:47,69.4541,-133.0374,-43.6,66,20,4.61
124,Ponta Do Sol,PT,2021-02-03 16:51:47,32.6667,-17.1,64.4,68,40,8.05
125,East London,ZA,2021-02-03 16:51:47,-33.0153,27.9116,84.2,42,0,6.91
126,Ahipara,NZ,2021-02-03 16:51:48,-35.1667,173.1667,58.8,88,94,6.17
127,Birin,NP,2021-02-03 16:51:48,26.8865,88.0718,47.66,67,0,4.36
128,Vogar,IS,2021-02-03 16:51:48,63.9832,-22.3874,37.4,75,75,21.85
129,Newcastle,AU,2021-02-03 16:51:20,-32.9272,151.7765,70.0,88,0,3.44
130,La Asuncion,VE,2021-02-03 16:51:48,11.0333,-63.8628,80.92,73,0,14.09
131,Teluk Nibung,ID,2021-02-03 16:51:48,3.001,99.8164,76.55,87,100,3.96
132,Kailua,US,2021-02-03 16:51:49,21.4022,-157.7394,71.6,83,90,14.97
133,Kavieng,PG,2021-02-03 16:51:49,-2.5744,150.7967,83.26,69,96,6.33
134,Abha,SA,2021-02-03 16:51:49,18.2164,42.5053,64.4,72,0,13.8
135,Mount Gambier,AU,2021-02-03 16:51:49,-37.8333,140.7667,55.4,94,99,3.44
136,Balaghat,IN,2021-02-03 16:48:30,21.8,80.1833,62.31,29,0,2.19
