City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Faanui,PF,-16.4833,-151.75,81.7,73,0,15.41,clear sky
80,Dingle,PH,10.9995,122.6711,73.27,94,100,4.63,overcast clouds
81,Kahului,US,20.8947,-156.47,71.6,68,75,18.41,broken clouds
82,Laurel,US,39.0993,-76.8483,50.0,53,1,6.91,clear sky
83,Tuktoyaktuk,CA,69.4541,-133.0374,-38.2,67,20,9.22,few clouds
84,Jimma,ET,7.6667,36.8333,64.06,65,49,2.28,scattered clouds
85,Piedras Negras,MX,28.7,-100.5167,77.0,65,40,6.91,scattered clouds
86,Lufilufi,WS,-13.8745,-171.5986,77.0,94,90,4.61,light rain
87,Nikolskoye,RU,59.7035,30.7861,6.01,85,20,2.24,mist
88,Nola,IT,40.922,14.5329,55.99,82,20,8.05,few clouds
89,Pisco,PE,-13.7,-76.2167,78.8,61,0,14.97,clear sky
90,Kirkuk,IQ,35.4681,44.3922,56.14,56,1,3.38,clear sky
91,Hithadhoo,MV,-0.6,73.0833,82.44,78,87,10.4,overcast clouds
92,Constitucion,CL,-35.3333,-72.4167,70.18,65,11,8.14,few clouds
93,Nhulunbuy,AU,-12.2333,136.7667,80.6,89,100,10.36,overcast clouds
94,Guerrero Negro,MX,27.9769,-114.0611,67.53,51,5,9.91,clear sky
95,Pevek,RU,69.7008,170.3133,-3.42,72,0,1.52,clear sky
96,Balkanabat,TM,39.5108,54.3671,51.64,65,0,1.74,clear sky
97,Tiksi,RU,71.6872,128.8694,-15.77,83,100,3.29,overcast clouds
98,Fairbanks,US,64.8378,-147.7164,-34.6,79,20,4.61,few clouds
99,Kodiak,US,57.79,-152.4072,32.0,80,90,2.39,overcast clouds
100,San Andres,CO,12.5847,-81.7006,84.2,70,20,14.97,few clouds
101,Cozumel,MX,20.5083,-86.9458,82.4,74,90,11.5,overcast clouds
102,Mocorito,MX,25.4833,-107.9167,89.42,17,0,5.57,clear sky
103,Cukai,MY,4.25,103.4167,77.0,94,98,6.11,overcast clouds
104,Inhambupe,BR,-11.7844,-38.3531,84.9,50,75,16.04,broken clouds
