City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
462,Charkhi Dadri,IN,60.03,overcast clouds,28.6,76.2667,Ombir Sheoran
473,Marulanda,CO,60.96,scattered clouds,5.2839,-75.2602,La casa de las Tías
481,Dubbo,AU,60.8,clear sky,-32.25,148.6167,Comfort Inn Blue Lagoon
488,Nagar,IN,59.13,overcast clouds,27.4333,77.1,Hotel Park Palace
496,Fortuna,US,54.0,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
520,Zhob,PK,50.5,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
525,Australind,AU,54.0,broken clouds,-33.2667,115.7167,ON THE ESTUARY
531,Jalu,LY,61.84,overcast clouds,29.0331,21.5482,صاحبة الفخامة
544,Agadir,MA,59.0,few clouds,30.4202,-9.5982,Iberostar Founty Beach
546,Santa Cruz De La Palma,ES,64.4,few clouds,28.6835,-17.7642,H10 Taburiente Playa
547,Loikaw,MM,55.49,broken clouds,19.6742,97.2094,Myat Nan Taw Hotel
550,Mao,ES,57.2,few clouds,39.8885,4.2658,ARTIEM Capri
553,Guilin,CN,50.0,light rain,25.2819,110.2864,Grand 0773 Hotel
555,Erzin,TR,64.0,clear sky,36.9559,36.2,Artemis Otel
558,Dilla,ET,63.64,broken clouds,6.41,38.31,Afomiya Pension
559,Karabuk,TR,52.59,clear sky,41.2049,32.6277,Elit Uzungol Hotel
567,Boyabat,TR,53.53,overcast clouds,41.4689,34.7667,Kolaz Palas Otel
571,Along,IN,51.1,clear sky,28.1667,94.7667,Hotel West
575,Ukiah,US,57.2,overcast clouds,39.1502,-123.2078,Hampton Inn Ukiah
585,Rudarpur,IN,56.39,broken clouds,26.4394,83.6144,Indian Guest House
586,Camacha,PT,62.6,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
599,Tomigusuku,JP,62.6,broken clouds,26.185,127.675,DoubleTree by Hilton Hotel Naha
600,Bhera,PK,59.2,clear sky,32.4832,72.9097,Shahmeer Tea stall
607,Geraldton,AU,60.8,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
613,Flinders,AU,63.0,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
615,Wellington,NZ,64.4,broken clouds,-41.2866,174.7756,CityLife Wellington
616,Marsa Matruh,EG,55.4,clear sky,31.3525,27.2453,Beau Site
617,Ugento,IT,57.0,clear sky,39.9263,18.1574,Porta Paradiso
624,Waddan,LY,61.7,clear sky,29.1614,16.139,محل الشريف محمد العايب
625,Tura,IN,60.26,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
629,Casablanca,MA,62.01,scattered clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
633,Methoni,GR,61.0,clear sky,36.8197,21.7049,Methoni Beach Hotel
634,Lovington,US,60.8,clear sky,32.944,-103.3485,Buena vida rv parks
635,Rincon,US,62.6,overcast clouds,32.296,-81.2354,Bent tree subdivision
637,Mangan,IN,56.88,clear sky,27.5167,88.5333,Hotel Mout View
644,Constantine,DZ,53.6,clear sky,36.365,6.6147,Grand Hotel Cirta
665,Erdemli,TR,59.38,clear sky,36.605,34.3084,VERAN HOTEL BEACH CLUB RESTAURANT
671,Cutervo,PE,63.16,light rain,-6.379,-78.8157,Hotel Arena Blanca Cutervo
676,Sailana,IN,63.97,clear sky,23.4667,74.9167,Krishna Marriage Garden Sailana
